Product,ProductType,ProductGroup,BaseUnit,GrossWeight,WeightUnit,Division,BatchManagement,ShelfLifeDays,StorageConditionClass,ProductDescription,Plant,MRPController
100234,FERT,DRUGPROD,PCE,0.085,KGM,01,true,730,15-25C,AUGMENTIN 625MG FILM TABLET 14S,GB21,101
100235,FERT,DRUGPROD,PCE,0.092,KGM,01,true,730,15-25C,AUGMENTIN 1G FILM TABLET 14S,GB21,101
100236,FERT,VACCINE,PCE,0.045,KGM,02,true,1095,2-8C,SHINGRIX SUSPENSION 1 DOSE VIAL,BE31,201
100238,ROH,API,KGM,1.000,KGM,01,true,1825,15-25C,AMOXICILLIN TRIHYDRATE API,GB21,301
100239,ROH,API,KGM,1.000,KGM,01,true,1825,15-25C,CLAVULANATE POTASSIUM API,GB21,301
100240,VERP,PACK,PCE,0.002,KGM,01,false,,15-25C,CARTON AUGMENTIN 625MG 14S,GB21,401
100241,HALB,BULK,KGM,1.000,KGM,01,true,365,15-25C,AUGMENTIN BULK GRANULATE,GB21,301
100242,FERT,DRUGPROD,PCE,0.120,KGM,01,true,730,15-25C,VENTOLIN EVOHALER 100MCG 200D,GB22,101
100243,FERT,DRUGPROD,PCE,0.000,KGM,01,true,730,15-25C,SERETIDE ACCUHALER 50/500 60D,GB22,101
100244,FERT,VACCINE,PCE,0.030,KGM,02,true,730,-70C,RSV VACCINE INVESTIGATIONAL VIAL,BE31,201
100245,ROH,EXCIP,KGM,1.000,KGM,01,false,730,15-25C,MICROCRYSTALLINE CELLULOSE PH102,GB21,301
100246,FERT,DRUGPROD,TNE,2.500,KGM,01,true,545,15-25C,ZOVIRAX CREAM 5% 10G TUBE,IE41,101
100247,FERT,CONSUMER,PCE,0.150,KGM,03,false,365,15-25C,SENSODYNE REPAIR PROTECT 75ML,GB23,501
100248,FERT,CONSUMER,PCE,0.150,KGM,03,false,365,15-25C,SENSODYNE REPAIR PROTECT 75ML,GB23,501
100249,ROH,API,KGM,1.000,KGM,01,true,1825,15-25C,SALBUTAMOL SULPHATE API,GB22,301
100250,FERT,VACCINE,PCE,0.052,KGM,02,true,1095,2-8C,CERVARIX SUSPENSION 0.5ML VIAL,BE31,201
100252,FERT,DRUGPROD,PCE,0.075,KGM,01,true,730,15-25C,TRELEGY ELLIPTA 92/55/22 30D,GB22,101
100253,FERT,DRUGPROD,PCE,0.075,KGM,01,true,730,15-25C,ZEJULA 100MG CAPSULE 56S,IE41,101
